Province,District,Station,Value ,Dates,Dates,,,,,
Kigali City,NYARUGENGE,GITEGA,33,02/06/2016,02/06/2016, 2/18/2016,,,,
Kigali City,NYARUGENGE,BUTAMWA,32.5,17/08/2017,17/08/2017,9/26/2018,,,,
Kigali City,GASABO,KABUYE SUGAR,32.8,16/12/2012,16/12/2012,12/30/1899,,,,
Kigali City,KICUKIRO,KIGALI AERO,35.4,02/22/2005,02/22/2005,,,,,
Southern ,NYANZA,NYANZA,30,09/21/2015,09/21/2015,,,,,
Southern ,NYANZA,BUSASAMANA-NYANZA,29.8,07/18/2020,07/18/2020,,,,,
Southern ,NYANZA,BUSORO,34.5,22/02/2005,22/02/2005,24/02/2005,,,,
Southern ,GISAGARA,CYILI_Rice Cooperative,34.8,11/27/2016,11/27/2016,,,,,
Southern ,GISAGARA,GIKONKO,32.8,01/25/2018,01/25/2018-17/01/2019-17/01/2019,,,,,
Southern ,GISAGARA,KANSI ECOLE,30.8,06/08/2017,06/08/2017,,,,,
Southern ,GISAGARA,KANSI PAROISSE,30,08/23/2016,08/23/2016-13/09/2016,,,,,
Southern ,GISAGARA,KIGEMBE,30.5,09/12/2016,09/12/2016,,,,,
Southern ,NYARUGURU,RUNYOMBI,35.2,08/20/2010,08/20/2010,,,,,
Southern ,NYARUGURU,MATA,32,02/02/2010,02/02/2010-11/02/2010,,,,,
Southern ,HUYE,NYAKIBANDA_GRAND_SEMINAIRE,31.3,11/06/2018,11/06/2018,,,,,
Southern ,HUYE,RUBONA COLLINE,32,02/25/2005,02/25/2005,,,,,
Southern ,NYAMAGABE,CYANIKA,29.8,06/06/2019,06/06/2019,,,,,
Southern ,NYAMAGABE,GIKONGORO MET,29.7,08/25/2006,08/25/2006,,,,,
Southern ,NYAMAGABE,KIGEME,34.3,10/28/2016,10/28/2016,,,,,
Southern ,NYAMAGABE,KADUHA,34,12/08/2014,12/08/2014,,,,,
Southern ,NYAMAGABE,KITABI,29,07/22/2017,07/22/2017,,,,,
Southern ,NYAMAGABE,MUSHUBI,32,06/23/2019,06/23/2019-29/06/2019,,,,,
Southern ,RUHANGO,BYIMANA,29,02/18/2016,02/18/2016,,,,,
Southern ,RUHANGO,KARAMBI,32,02/24/2005,02/24/2005,,,,,
Southern ,RUHANGO,KINAZI,32.8,08/29/2021,08/29/2021,,,,,
Southern ,MUHANGA,KIBANGU,35,01/19/2012,01/19/2012,,,,,
Southern ,MUHANGA,NYAMABUYE,28.5,06/12/2016,06/12/2016,,,,,
Southern ,MUHANGA,MURAMBI,29.9,02/15/2021,02/15/2021,,,,,
Southern ,KAMONYI,GIHINGA-GACUR,33.3,05/31/2015,05/31/2015,,,,,
Southern ,KAMONYI,KAYENZI,29.8,03/12/2022,03/12/2022,,,,,
Southern ,KAMONYI,MUGINA,31.8,01/08/2021,01/08/2021,,,,,
Western,KARONGI,MUBUGA,33,09/11/2005,09/11/2005,,,,,
Western,KARONGI,RUBENGERA MET,30.2,08/24/2010,08/24/2010-13/09/2016,,,,,
Western,KARONGI,ESPERANCE CHILDREN,32.4,11/02/2017,11/02/2017,,,,,
Western,KARONGI,RUGABANO TEAN COMPANY,27.5,02/28/2019,02/28/2019,,,,,
Western,RUTSIRO,RUTSIRO,29.7,12/05/2020,12/05/2020,,,,,
Western,RUTSIRO,GIHANGO,30,02/13/2017,02/13/2017,,,,,
Western,RUTSIRO,MURUNDA,33,01/06/2015,01/06/2015,,,,,
Western,RUTSIRO,KIVUMU,30,11/05/2004,11/05/2004,,,,,
Western,RUBAVU,GISENYI AERO,31.7,02/02/2010,02/02/2010,,,,,
Western,RUBAVU,KANAMA,28.7,09/07/2019,09/07/2019,,,,,
Western,NYABIHU,BIGOGWE,26.1,03/12/2019,03/12/2019,,,,,
Western,NGORORERO,MURAMBA PAROISSE,31.5,12/09/2010,12/09/2010,,,,,
Western,NGORORERO,NYANGE-NGOR,32.1,09/05/2017,09/05/2017,,,,,
Western,NGORORERO,SOVU,32.3,02/05/2019,02/05/2019,,,,,
Western,RUSIZI,BUGARAMA RIZ,36,10/03/2010,10/03/2010-10/04/2010-20/07/2013,,,,,
Western,RUSIZI,KAMEMBE AERO,32.3,02/22/2005,02/22/2005,,,,,
Western,NYAMASHEKE,NTENDEZI,33.1,04/15/2015,04/15/2015,,,,,
Western,NYAMASHEKE,CYATO,32.1,07/31/2019,07/31/2019,,,,,
Western,NYAMASHEKE,NYAMASHEKE,31.7,08/10/2022,08/10/2022,,,,,
Northern,RULINDO,CYINZUZI,27.3,04/05/2017,04/05/2017,,,,,
Northern,RULINDO,MUGAMBAZI/murambi,29.1,03/03/2022,03/03/2022,,,,,
Northern,GAKENKE,JANJA,29.5,12/17/2021,12/17/2021,,,,,
Northern,GAKENKE,RULI- MUSASA,35,05/17/2015,05/17/2015,,,,,
Northern,GAKENKE,RUSHASHI,33.3,05/12/2016,05/12/2016,,,,,
Northern,MUSANZE,REMERA-RUHONDO,34,11/20/2014,11/20/2014,,,,,
Northern,MUSANZE,BUSOGO-ISAE,28.3,01/23/2006,01/23/2006,,,,,
Northern,MUSANZE,RUHENGERI AERO,30.2,02/25/2005,02/25/2005,,,,,
Northern,MUSANZE,KINIGI,29.5,01/15/2019,01/15/2019,,,,,
Northern,MUSANZE,RWAZA,32.5,02/22/2005,02/22/2005,,,,,
Northern,MUSANZE,BUNGWE,26,02/25/2005,02/25/2005,,,,,
Northern,BURERA,KAGOGO,30.4,01/11/2019,01/11/2019,,,,,
Northern,BURERA,NTARUKA,33.4,10/06/2013,10/06/2013,,,,,
Northern,BURERA,RUHUNDE,29.9,06/12/2018,06/12/2018,,,,,
Northern,GICUMBI,BYUMBA MET,28.8,03/03/2010,03/03/2010,,,,,
Northern,GICUMBI,MULINDI USINE,30.2,02/13/2019,02/13/2019,,,,,
Eastern,RWAMAGANA,RWAMAGANA,33.3,10/01/2020,10/01/2020,,,,,
Eastern,RWAMAGANA,MUSHA,32.8,11/20/2019,11/20/2019,,,,,
Eastern,NYAGATARE,GATUNDA,32.2,08/29/2021,08/29/2021,,,,,
Eastern,NYAGATARE,NYAGATARE,33.2,01/18/2017,01/18/2017,,,,,
Eastern,NYAGATARE,KARANGAZI,32.8,08/29/2021,08/29/2021,,,,,
Eastern,NYAGATARE,GARDEN FRESH,32,10/10/2017,10/10/2017-02/06/2018-02/10/2018-31/01/2019-19/03/2019-24/03/2019-17/09/2019,,,,,
Eastern,GATSIBO,KABARORE,32.5,10/06/2018,10/06/2018,,,,,
Eastern,GATSIBO,NGARAMA,32.5,08/28/2015,08/28/2015,,,,,
Eastern,GATSIBO,NYAGAHANGA EFA,32,08/24/2016,08/24/2016-28/08/2021,,,,,
